                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 2.0754,                 2.1304,                 2.2634,                0.52304,                0.40738,                0.42185,                0.25022,                 3.0735,                 4.0121,                 3.0892,               0.001354,               0.001354,               0.001354
                    133,                 2.0432,                 2.0971,                 2.2473,                 0.5223,                0.41354,                 0.4176,                0.24907,                 3.0544,                 4.0399,                 3.0715,               0.001288,               0.001288,               0.001288
                    134,                 2.0885,                 2.1242,                 2.2606,                0.51901,                0.41186,                 0.4218,                0.24816,                 3.0521,                  4.013,                 3.0716,               0.001222,               0.001222,               0.001222
                    135,                 2.0742,                 2.1057,                 2.2649,                0.52399,                 0.4289,                0.42384,                0.24938,                 3.0513,                 4.0182,                 3.0671,               0.001156,               0.001156,               0.001156
                    136,                 2.0717,                 2.0949,                 2.2529,                0.52913,                0.40668,                0.41994,                0.24635,                 3.0515,                  4.029,                 3.0752,                0.00109,                0.00109,                0.00109
                    137,                 2.0436,                 2.0703,                 2.2576,                0.51671,                0.41078,                0.41646,                0.24683,                 3.0459,                 4.0217,                  3.079,               0.001024,               0.001024,               0.001024
                    138,                  2.043,                 2.0504,                 2.2473,                0.52609,                0.40364,                0.41418,                0.24542,                 3.0467,                 4.0302,                 3.0687,               0.000958,               0.000958,               0.000958
                    139,                 2.0342,                 2.0391,                 2.2441,                0.51125,                0.40629,                0.40635,                0.24296,                 3.0461,                 4.0751,                 3.0661,               0.000892,               0.000892,               0.000892
                    140,                 2.0258,                 2.0335,                 2.2386,                0.54865,                0.39953,                0.41116,                0.24404,                 3.0625,                 4.0633,                 3.0841,               0.000826,               0.000826,               0.000826
                    141,                 1.8535,                 1.6916,                 2.2091,                0.53624,                0.40544,                0.41159,                0.24573,                 3.0537,                 4.1003,                 3.0957,                0.00076,                0.00076,                0.00076
                    142,                  1.849,                 1.6499,                 2.1941,                0.54507,                0.39209,                0.41198,                0.24599,                 3.0635,                 4.0775,                 3.1026,               0.000694,               0.000694,               0.000694
